NAME,FOLLOWERS,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
T-Series ,234M,India,,70.2M
SET India ,139M,India,,41.7M
Zee Music Company ,91.4M,India,,27.4M
Goldmines ,72M,India,,21.6M
Sony SAB ,69.2M,India,,20.8M
Zee TV ,64M,India,,19.2M
Shemaroo Filmi Gaane ,61.1M,India,,18.3M
Colors TV ,59.2M,India,,17.8M
ChuChu TV Nursery Rhymes & Kids Songs ,58.7M,India,,17.6M
Tips Official ,56.5M,India,,17M
Wave Music ,55.6M,India,,16.7M
Sony Music India ,55.3M,India,,16.6M
Aaj Tak ,54M,India,,16.2M
YRF ,48.4M,India,,14.5M
Infobells - Hindi ,46.6M,India,,14M
CarryMinati ,41.6M,India,Video Gaming,12.5M
Shemaroo ,41.2M,India,Celebrity,12.4M
Speed Records ,41.1M,India,Music,12.3M
Voot Kids ,39.3M,India,,11.8M
Ishtar Music ,38.5M,India,Music Celebrity,11.6M
Goldmines Gaane Sune Ansune ,35.6M,India,,10.7M
T-Series Apna Punjab ,33.6M,India,,10.1M
Total Gaming ,33.6M,India,Video Gaming,10.1M
ABP NEWS ,33.5M,India,,10.1M
Desi Music Factory ,33M,India,,9.9M
Bollywood Classics ,32.7M,India,,9.8M
Saregama Music ,32.1M,India,,9.6M
Rajshri ,31.9M,India,,9.6M
IndiaTV ,31.6M,India,,9.5M
Eros Now Music ,31.1M,India,,9.3M
MR. INDIAN HACKER ,29.8M,India,,8.9M
Zee News ,28.7M,India,,8.6M
Techno Gamerz ,28.1M,India,News Video Gaming,8.4M
Wow Kidz ,27.6M,India,,8.3M
infobells - Tamil ,27.1M,India,Marketing and Advertising Education,8.1M
infobells - Telugu ,26.5M,India,,8M
BB Ki Vines ,25.5M,India,Education Celebrity Business and Finance,7.7M
Shemaroo Movies ,22.6M,India,,6.8M
White Hill Music ,22.4M,India,,6.7M
Technical Guruji ,22.2M,India,,6.7M
Venus Movies ,21.8M,India,,6.5M
Wave Music Bhojpuri ,21.8M,India,,6.5M
Crazy XYZ ,21.7M,India,,6.5M
Dushyant kukreja ,21.3M,India,,6.4M
Pen Movies ,21.1M,India,Celebrity,6.3M
Ultra Movie Parlour ,20.8M,India,,6.2M
Netflix India ,20.6M,India,Celebrity,6.2M
Dr. Vivek Bindra: Motivational Speaker ,20.5M,India,,6.2M
Goldmines Cineplex ,20.4M,India,Celebrity,6.1M
StarPlus ,20.1M,India,,6M
DLS News ,19M,India,,5.7M
Heidi & Zidane बच्चों की कहानियाँ ,18.9M,India,,5.7M
Green Gold TV - Official Channel ,18.7M,India,,5.6M
Khan GS Research Centre ,18.2M,India,,5.5M
etvteluguindia ,17.8M,India,Celebrity Business and Finance Education Television,5.3M
Sun TV ,17.6M,India,,5.3M
Triggered Insaan ,17.5M,India,Books,5.3M
Dangal TV Channel ,17.3M,India,,5.2M
Stubborn Facts ,17.3M,India,Celebrity,5.2M
Sidhu Moose Wala ,17.1M,India,,5.1M
Village Cooking Channel ,17.1M,India,,5.1M
Busy Fun Ltd ,16.9M,India,,5.1M
Kiddiestv Hindi - Nursery Rhymes & Kids Songs ,16.7M,India,,5M
Wow Kidz Action ,16.6M,India,,5M
Prajapati News ,16.1M,India,,4.8M
Zappy Toons - Hindi Nursery Rhymes and Stories ,15.9M,India,,4.8M
Aayu and Pihu Show ,15.8M,India,Celebrity,4.7M
RKD Studios ,15.7M,India,Video Gaming,4.7M
And TV ,15.7M,India,,4.7M
SriBalajiMovies ,15.5M,India,,4.7M
Taarak Mehta Ka Ooltah Chashmah ,15.2M,India,,4.6M
NDTV India ,15.1M,India,,4.5M
Volga Video ,15M,India,,4.5M
Harsh Beniwal ,15M,India,,4.5M
Fun For Kids TV - Hindi Rhymes ,14.5M,India,,4.4M
Gyan Gamingㅤ ,14.4M,India,Video Gaming,4.3M
Team Films Bhojpuri ,14.4M,India,,4.3M
Shorts Break ,14.3M,India,,4.3M
SRK MUSIC ,14.2M,India,,4.3M
Mazhavil Manorama ,14M,India,,4.2M
DM - Desi Melodies ,14M,India,,4.2M
ZEE5 ,13.9M,India,,4.2M
Sony Music South ,13.8M,India,,4.1M
MY FAMILY ,13.8M,India,Celebrity,4.1M
Online Job ,13.5M,India,,4.1M
infobells ,13.5M,India,,4.1M
The MriDul ,13.3M,India,,4M
MyMissAnand ,13.2M,India,,4M
Anaysa ,13.2M,India,Fashion Beauty,4M
NishaMadhulika ,13.1M,India,,3.9M
ETV Jabardasth ,13M,India,,3.9M
Mythpat ,13M,India,Video Gaming,3.9M
Desi Gamers ,13M,India,,3.9M
Zee Bangla ,13M,India,,3.9M
Lotus Music ,12.9M,India,Music,3.9M
CookingShooking Hindi ,12.8M,India,,3.8M
Zee Telugu ,12.7M,India,,3.8M
Dear Sir ,12.7M,India,,3.8M
T-Series Hamaar Bhojpuri ,12.6M,India,,3.8M
Health Time ,12.6M,India,,3.8M
